Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Alberto Moreno,es ESP,ZG,Villarreal,31,27,17,2,2,0,0,5,2,0.7,1.6,26,55,79
Gerard Moreno,es ESP,AT,Villarreal,31,30,28,10,6,2,3,0,0,9.7,5.3,48,155,199
Jorge Moreno,es ESP,ZG,Osasuna,22,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Ilaix Moriba,gn GUI,"LT,AT",Getafe,20,14,8,0,2,0,0,5,1,0.3,0.6,8,21,19
Manu Morlanes,es ESP,LT,Mallorca,24,35,16,0,2,0,0,2,0,1.0,2.0,29,104,31
Cristhian Mosquera,co COL,ZG,Valencia,19,36,33,0,0,0,0,2,0,0.7,0.0,14,77,4
Yerson Mosquera,co COL,ZG,Villarreal,22,16,14,2,1,0,0,4,0,1.6,0.3,8,36,12
Abdul Mumin,gh GHA,ZG,Rayo Vallecano,25,20,19,1,0,0,0,5,1,0.4,0.3,6,38,4
Iker Muniain,es ESP,"LT,AT",Athletic Club,30,20,5,2,0,0,0,1,0,1.7,0.4,18,43,50
Aihen Muñoz,es ESP,ZG,Real Sociedad,25,21,11,0,2,0,0,2,0,0.3,2.0,24,39,23
Álvaro Muñoz,uy URU,AT,Real Madrid,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Iker Muñoz,es ESP,LT,Osasuna,20,28,20,4,0,0,0,5,0,1.1,0.2,17,80,23
Javier Muñoz,es ESP,LT,Las Palmas,28,37,30,2,3,0,0,6,0,2.5,1.4,33,122,126
Vedat Muriqi,xk KVX,AT,Mallorca,29,29,25,7,2,1,3,5,0,10.4,2.6,20,40,134
Nacho,es ESP,ZG,Real Madrid,33,29,18,0,1,0,0,4,2,0.5,1.2,13,55,9
Matija Nastasić,rs SRB,ZG,Mallorca,30,26,25,2,0,0,0,8,0,1.0,0.6,11,64,4
Roberto Navarro,es ESP,"LT,AT",Cádiz,21,28,24,1,1,0,0,0,1,2.1,3.1,81,70,119
Jesús Navas,es ESP,ZG,Sevilla,37,29,25,0,2,0,0,6,1,0.1,1.9,54,103,141
Álvaro Negredo,es ESP,"AT,LT",Cádiz,37,7,0,0,0,0,0,0,0,0.1,0.1,0,0,0
Carlos Neva,es ESP,ZG,Granada,27,36,36,0,2,0,0,4,0,0.1,3.2,43,111,98
Tanguy Nianzou,fr FRA,ZG,Sevilla,21,8,3,0,0,0,0,3,0,0.0,0.0,2,14,1
Saúl Ñíguez,es ESP,LT,Atlético Madrid,28,34,14,1,4,0,0,10,1,1.5,3.2,21,34,43
Peru Nolaskoain,es ESP,"ZG,LT",Athletic Club,24,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Randy Ntekja,ao ANG,"AT,LT",Rayo Vallecano,25,16,3,1,1,1,1,3,0,2.3,0.9,12,15,35
Unai Núñez,es ESP,ZG,Celta Vigo,26,34,31,1,0,0,0,4,0,1.4,0.8,10,106,2
Ørjan Nyland,no NOR,G,Sevilla,32,24,24,0,0,0,0,1,0,0.0,0.4,0,0,1
Jan Oblak,si SVN,G,Atlético Madrid,30,38,38,0,0,0,0,1,0,0.0,0.0,0,0,0
Brian Ocampo,uy URU,"LT,AT",Cádiz,24,13,1,1,0,0,0,2,0,0.3,0.1,18,9,25
Lucas Ocampos,ar ARG,"AT,LT",Sevilla,29,35,34,4,3,1,1,8,0,5.4,4.5,117,124,265
Álvaro Odriozola,es ESP,ZG,Real Sociedad,27,9,6,0,0,0,0,0,0,0.0,0.2,14,8,12
Aingeru Olabarrieta,es ESP,AT,Athletic Club,17,1,0,0,0,0,0,0,0,0.0,0.0,1,0,0
Olasagasti,es ESP,LT,Real Sociedad,22,14,2,0,0,0,0,3,0,0.9,0.3,8,13,12
Samuel Omorodion,es ESP,AT,Alavés,19,34,21,8,1,0,0,6,0,10.8,1.3,30,18,100
Samuel Omorodion,es ESP,AT,Granada,19,1,1,1,0,0,0,0,0,0.7,0.0,0,0,3
Aimar Oroz,es ESP,LT,Osasuna,21,33,26,2,1,1,1,3,0,3.5,1.6,52,103,126
Eneko Ortiz,es ESP,ZG,Alavés,20,1,0,0,0,0,0,0,0,0.0,0.0,1,1,1
Asier Osambela,es ESP,LT,Osasuna,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Milutin Osmajić,me MNE,LT,Cádiz,24,1,0,0,0,0,0,0,0,0.1,0.0,0,0,0
Aiham Ousou,sy SYR,ZG,Cádiz,23,6,5,0,0,0,0,0,0,0.2,0.0,2,7,0
Jesús Owono,gq EQG,G,Alavés,22,4,4,0,0,0,0,1,0,0.0,0.0,0,0,0
Mikel Oyarzabal,es ESP,"AT,LT",Real Sociedad,26,33,23,9,3,2,2,3,0,9.1,1.7,27,39,126
