Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Sofiane Diop,fr FRA,AT,Nice,23,10,6,0,0,0,0,0,0,1.2,0.8,20,17,43
Andy Diouf,fr FRA,LT,Lens,20,25,16,1,0,0,0,2,0,1.5,1.1,63,80,55
Yehvann Diouf,fr FRA,G,Reims,23,34,34,0,0,0,0,1,0,0.0,0.0,0,3,0
Chaim El Djebali,tn TUN,LT,Lyon,19,1,0,0,0,0,0,0,0,0.0,0.0,1,2,0
Jeremy Doku,be BEL,AT,Rennes,21,2,1,1,0,0,0,0,0,0.6,0.2,11,5,19
Gianluigi Donnarumma,it ITA,G,Paris S-G,24,25,25,0,0,0,0,3,1,0.0,0.0,0,0,0
Siriné Doucouré,ml MLI,AT,Lorient,21,11,5,1,3,0,0,2,0,0.9,1.3,14,5,35
Désiré Doué,fr FRA,"LT,AT",Rennes,18,31,17,4,4,0,0,3,0,2.4,3.7,78,121,172
Guela Doué,ci CIV,ZG,Rennes,20,24,13,0,2,0,0,1,1,0.5,1.1,41,53,85
Douglas,br BRA,LT,Nantes,26,25,22,0,0,0,0,7,0,1.2,1.1,12,105,18
Ismaël Doukouré,fr FRA,"LT,ZG",Strasbourg,20,22,19,0,0,0,0,4,0,0.3,0.2,15,80,7
Kamory Doumbia,ml MLI,LT,Brest,20,25,7,6,5,0,0,1,0,4.2,0.9,22,48,43
Jean-Kevin Duverne,ht HAI,ZG,Nantes,26,19,15,0,0,0,0,5,0,0.3,0.2,18,64,23
Aron Dønnum,no NOR,"AT,LT",Toulouse,25,27,19,0,1,0,0,8,0,1.0,2.1,69,66,120
Simon Ebonog,cm CMR,LT,Le Havre,18,4,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Hugo Ekitike,fr FRA,AT,Paris S-G,21,1,0,0,0,0,0,0,0,0.0,0.0,0,1,3
Simon Elisor,fr FRA,AT,Metz,24,14,9,1,0,0,1,1,0,2.3,0.9,9,14,43
Breel Embolo,ch SUI,AT,Monaco,26,5,2,1,0,0,0,0,0,0.7,0.1,8,7,20
Emanuel Emegha,nl NED,AT,Strasbourg,20,28,23,8,1,0,1,3,0,10.8,0.4,24,11,115
Maxime Estève,fr FRA,ZG,Montpellier,21,12,12,1,1,0,0,2,0,0.2,0.3,8,23,10
Oscar Estupiñan,co COL,AT,Metz,26,6,4,0,0,0,0,0,0,0.5,0.0,5,2,8
Romain Faivre,fr FRA,"LT,AT",Lorient,25,17,16,5,1,0,0,1,0,2.8,1.7,68,102,78
