Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Nemanja Jović,rs SRB,LT,Estoril,20,3,0,0,0,0,0,0,0,0.0,0.0,0,0,1
Luiz Lúcio Reis Júnior,br BRA,G,Famalicão,22,33,33,0,0,0,0,2,0,0.0,0.1,0,0,0
David Jurásek,cz CZE,ZG,Benfica,22,6,2,0,0,0,0,1,0,0.1,0.7,8,9,29
Samuel Justo,pt POR,LT,Casa Pia,19,21,5,1,1,0,0,1,0,0.6,0.4,8,22,23
Kaio,br BRA,AT,Vitória,19,12,5,0,0,0,0,3,0,0.4,0.1,6,14,27
Kazu,br BRA,"ZG,AT",Gil Vicente FC,23,3,0,0,0,0,0,0,0,0.0,0.1,4,5,5
Keliano,ao ANG,LT,Estrela,20,9,0,0,0,0,0,0,0,0.2,0.0,0,3,3
Kewin,br BRA,G,Moreirense,27,30,30,0,0,0,0,1,0,0.0,0.0,0,0,0
Kikas,pt POR,"AT,LT",Estrela,24,31,15,8,1,0,0,4,0,6.9,2.0,13,27,91
Francisco Kiki,pt POR,LT,Casa Pia,25,1,0,0,0,0,0,0,0,0.0,0.0,0,1,1
Kobamelo Kodisang,za RSA,AT,Moreirense,23,31,19,1,3,0,0,0,0,3.5,2.5,49,34,124
Koba Koindredi,fr FRA,LT,Estoril,21,11,6,0,0,0,0,0,0,0.3,0.3,10,27,9
Koba Koindredi,fr FRA,LT,Sporting CP,21,4,0,0,0,0,0,0,0,0.0,0.0,1,1,0
Orkun Kökçü,tr TUR,LT,Benfica,22,27,23,7,8,1,1,7,0,5.1,5.6,51,198,61
Eboue Kouassi,ci CIV,LT,Arouca,25,25,14,0,0,0,0,5,1,0.7,0.4,6,58,9
Kevin Krygård,no NOR,"LT,ZG",Casa Pia,23,3,0,0,0,0,0,0,0,0.0,0.0,0,4,0
Matías Lacava,ve VEN,"AT,LT",Vizela,20,20,18,0,4,0,0,7,2,1.2,3.4,31,33,110
Tom Lacoux,fr FRA,LT,Famalicão,21,9,5,0,0,0,0,1,0,0.2,0.0,3,9,2
André Lacximicant,pt POR,"AT,LT",Casa Pia,22,13,1,1,1,0,0,0,0,0.2,0.4,5,4,12
Rúben Lameiras,pt POR,"AT,LT",Casa Pia,28,15,5,0,1,0,0,2,0,0.4,1.3,13,25,27
Rúben Lameiras,pt POR,"AT,LT",Chaves,28,5,4,0,0,0,0,1,0,0.1,0.2,2,7,5
Bruno Langa,mz MOZ,"ZG,LT",Chaves,25,15,12,1,0,0,0,5,1,0.3,0.8,26,64,42
Larra,es ESP,"ZG,LT",Casa Pia,25,32,30,2,1,0,0,4,0,1.1,2.1,71,83,96
Yusuf Lawal,ng NGA,"AT,LT",Arouca,25,17,1,0,1,0,0,1,0,0.0,0.4,12,5,26
Orest Lebedenko,ua UKR,ZG,Vizela,24,23,16,2,1,0,0,3,0,1.3,1.2,34,37,31
Daniel Leite,pt POR,G,Estoril,25,12,12,0,0,0,0,1,0,0.0,0.0,0,0,0
Leonardo Lelo,pt POR,"ZG,LT",Casa Pia,23,33,33,1,2,0,0,0,0,1.0,1.8,45,99,114
Marcos Leonardo,br BRA,AT,Benfica,20,14,3,7,0,0,0,1,0,4.7,0.0,3,3,15
Otso Liimatta,fi FIN,"LT,AT",Famalicão,19,12,5,0,0,0,0,0,0,0.3,0.2,11,8,26
Rúben Lima,pt POR,"ZG,LT",Estrela,33,14,12,0,1,0,0,3,0,0.2,0.7,5,23,24
Danny Loader,eng ENG,"AT,LT",Porto,22,16,1,1,2,0,0,1,0,1.0,0.8,5,10,27
Jason Lokilo,be BEL,"AT,LT",Vizela,24,10,9,1,1,0,0,0,0,1.0,1.0,33,24,62
Julien Lomboto,,LT,Rio Ave,21,2,0,0,0,0,0,0,0,0.0,0.0,0,1,0
Miguel Lopes,pt POR,ZG,Estrela,36,17,17,0,0,0,0,2,1,0.4,0.8,3,34,2
Né lopes,pt POR,ZG,Gil Vicente FC,23,5,3,0,0,0,0,0,0,0.0,0.0,3,9,3
Rony Lopes,pt POR,"AT,LT",Braga,27,23,2,2,0,0,0,1,0,1.5,0.8,21,27,50
Bruno Lourenço,pt POR,"AT,LT",Boavista,25,32,23,5,1,2,3,4,1,4.1,1.5,29,60,90
Thomas Luciano,br BRA,ZG,Gil Vicente FC,21,4,0,1,0,0,0,1,0,0.1,0.1,1,2,2
André Luis,br BRA,AT,Moreirense,29,15,15,6,2,1,1,4,0,3.5,2.0,16,29,73
Florentino Luís,pt POR,LT,Benfica,23,30,17,0,0,0,0,8,0,1.5,0.4,11,142,20
José Luis Rodríguez,pa PAN,AT,Famalicão,25,23,17,1,5,0,0,3,1,1.6,1.5,56,31,98
Zé Luís,cv CPV,"AT,LT",Farense,32,15,5,2,1,0,0,2,0,2.1,0.7,10,14,30
Luismi,gq EQG,AT,Moreirense,22,15,10,0,0,0,0,1,0,1.5,1.4,19,20,41
