Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Fabian Schär,ch SUI,ZG,Newcastle Utd,31,36,35,4,1,0,0,5,0,2.5,0.7,28,133,20
Jeffrey Schlupp,gh GHA,"AT,LT",Crystal Palace,30,29,17,2,2,0,0,1,0,1.8,2.3,20,33,52
Alex Scott,eng ENG,LT,Bournemouth,19,23,11,1,1,0,0,3,0,0.7,1.7,24,50,35
Matz Sels,be BEL,G,Nott'ham Forest,31,16,16,0,0,0,0,1,0,0.0,0.1,0,0,0
Nélson Semedo,pt POR,"ZG,LT",Wolves,29,36,36,0,1,0,0,10,1,1.3,1.7,103,138,150
Antoine Semenyo,gh GHA,AT,Bournemouth,23,33,25,8,2,0,0,6,0,4.6,3.2,89,64,188
Marcos Senesi,ar ARG,ZG,Bournemouth,26,31,26,4,5,0,0,13,0,2.0,1.7,31,127,4
Luke Shaw,eng ENG,ZG,Manchester Utd,28,12,12,0,0,0,0,6,0,0.0,1.0,10,45,30
James Shea,eng ENG,G,Luton Town,32,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Bernardo Silva,pt POR,"LT,AT",Manchester City,28,33,29,6,9,0,0,8,0,3.7,7.6,140,177,260
Fábio Silva,pt POR,AT,Wolves,21,8,3,0,0,0,0,2,0,1.0,0.2,5,10,13
Thiago Silva,br BRA,ZG,Chelsea,38,31,28,3,1,0,0,4,0,0.8,1.0,2,102,5
Luis Sinisterra,co COL,"AT,LT",Bournemouth,24,20,7,2,2,0,0,0,0,2.5,2.4,51,38,85
Oliver Skipp,eng ENG,"LT,ZG",Tottenham,22,21,5,0,0,0,0,3,0,0.7,0.6,8,37,25
Adam Smith,eng ENG,ZG,Bournemouth,32,28,25,0,2,0,0,6,0,0.1,1.3,24,89,28
Emile Smith Rowe,eng ENG,LT,Arsenal,23,13,3,0,1,0,0,0,0,2.0,0.2,11,23,18
Cédric Soares,pt POR,ZG,Arsenal,31,3,0,0,0,0,0,0,0,0.0,0.0,0,3,6
Dominic Solanke,eng ENG,AT,Bournemouth,25,38,37,19,3,2,3,3,0,19.6,3.0,52,60,184
Manor Solomon,il ISR,AT,Tottenham,24,5,2,0,2,0,0,1,0,0.4,0.8,17,11,44
Tomáš Souček,cz CZE,LT,West Ham,28,37,34,7,2,0,0,7,0,6.7,1.7,7,86,39
Vinicius Souza,br BRA,LT,Sheffield Utd,24,36,29,1,0,0,0,3,0,0.6,0.2,7,66,21
Jason Steele,eng ENG,G,Brighton,32,17,17,0,0,0,0,0,0,0.0,0.0,0,0,0
Raheem Sterling,eng ENG,"AT,LT",Chelsea,28,31,22,8,4,0,0,7,0,6.5,4.5,120,78,242
John Stones,eng ENG,"ZG,LT",Manchester City,29,16,12,1,0,0,0,2,0,1.0,0.2,16,57,24
Thomas Strakosha,al ALB,G,Brentford,28,2,1,0,0,0,0,0,0,0.0,0.0,0,0,0
Dominik Szoboszlai,hu HUN,LT,Liverpool,22,33,25,3,2,0,0,1,0,3.7,5.8,75,152,160
Matt Targett,eng ENG,ZG,Newcastle Utd,27,3,1,0,0,0,0,1,0,0.0,0.0,1,2,0
James Tarkowski,eng ENG,ZG,Everton,30,38,38,1,1,0,0,11,0,2.6,2.5,15,130,20
Jimi Tauriainen,eng ENG,AT,Chelsea,19,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
