Jogador,Nacao,Posicao,Equipe,Idade,Jogos_disputados,Jogos_iniciados,Gols,Assistencias,Penaltis_batidos,Penaltis_convertidos,Amarelos,Vermelhos,Xg,Xag,Carregadas_progressivas,Passes_progressivos,Passes_progressivos_recebidos
Vanja Milinković-Savić,rs SRB,G,Torino,26,36,36,0,0,0,0,2,0,0.0,0.0,0,0,0
Yerry Mina,co COL,"ZG,LT",Fiorentina,28,4,0,0,0,0,0,1,0,0.1,0.0,0,2,1
Yerry Mina,co COL,ZG,Cagliari,28,14,14,2,0,1,1,4,0,1.3,0.0,4,23,3
Aleksei Miranchuk,ru RUS,"LT,AT",Atalanta,27,27,12,3,5,0,0,1,0,5.4,4.1,41,75,122
Kevin Miranda,it ITA,ZG,Sassuolo,20,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Antonio Mirante,it ITA,G,Milan,40,2,2,0,0,0,0,0,0,0.0,0.0,0,0,0
Fabio Miretti,it ITA,LT,Juventus,19,25,16,1,1,0,0,3,0,1.2,1.1,22,43,62
Filippo Missori,it ITA,ZG,Sassuolo,19,8,2,0,0,0,0,0,0,0.3,0.0,5,8,7
Stefan Mitrović,rs SRB,"AT,LT",Hellas Verona,20,10,4,0,0,0,0,0,0,0.4,0.1,13,15,24
Henrikh Mkhitaryan,am ARM,LT,Inter,34,36,35,2,8,0,0,4,0,3.6,4.5,92,192,127
Ilario Monterisi,it ITA,ZG,Frosinone,21,24,16,2,2,0,0,1,0,1.1,0.4,4,47,18
Lorenzo Montipò,it ITA,G,Hellas Verona,27,37,37,0,1,0,0,0,0,0.0,0.0,0,0,0
Nikola Moro,hr CRO,LT,Bologna,25,23,10,1,0,0,0,0,0,0.7,0.4,21,58,38
Dany Mota,pt POR,"AT,LT",Monza,25,34,24,4,3,0,0,3,0,3.6,3.0,112,57,152
Samuele Mulattieri,it ITA,"AT,LT",Sassuolo,22,27,1,0,0,0,0,1,0,1.6,0.3,8,1,38
Luis Muriel,co COL,"AT,LT",Atalanta,32,18,2,2,1,0,0,0,0,1.5,1.7,19,24,57
Yunus Musah,us USA,"LT,AT",Milan,20,30,13,0,2,0,0,5,0,0.6,1.2,48,64,77
Juan Musso,ar ARG,G,Atalanta,29,11,11,0,0,0,0,0,0,0.0,0.0,0,0,0
Kingstone Mutandwa,zm ZAM,"AT,LT",Cagliari,20,5,0,1,0,0,0,0,0,0.1,0.0,1,0,2
